YEAR,SPECIES_CODE,BIOMASS,VAR
2002,30020,16940.3469423163,3839838.26873871
2004,30020,18792.7758829193,2830310.39980233
2008,30020,26054.643271377,10528665.1080001
2010,30020,29334.4963124175,11694812.3740226
2010,30030,22.7266893134439,291.992034106361
2012,30020,29564.6369185906,9929460.50106529
2016,30030,20.1219608519224,75.0405241797299
2002,30040,0.443611239811105,0.174181877792321
2004,30040,5.14684254510029,26.2111015846194
2002,30152,25.0143410192459,200.466572429147
2004,30152,13.2103290390838,55.7580638974781
2016,30020,35947.6045676151,17027871.8431635
2002,30025,5.11867309538242,13.6619314816705
2010,30040,3.35230573601151,11.2379537476957
2008,30152,10.034664964941,100.694500958615
2004,30025,12.2591855870382,36.9557210150807
2008,30025,10.5102919289804,28.615287532166
2012,30025,7.59640887829619,30.6737321037772
2016,30025,4.67199568171483,11.2897568433254
2010,30152,116.923110616673,10358.17168422
2012,30152,40.2034282641922,600.299777351218
2002,30030,7.11309316843125,37.2679427847411
2016,30535,5.66544470073582,17.3258280170554
2004,30475,0.686772138350638,0.471655970014708
2008,30475,6.87803872892664,23.655851619508802
2010,30475,1.20537364384722,1.45292562128154
2012,30475,4.10593943859967,16.8587386734482
