Catch tables for BSAI Other Rockfish,,,,,,,,,,,,,,,
Contact: jane.sullivan@noaa.gov,,,,,,,,,,,,,,,
Catch assessed from AKFIN's COUNCIL.COMPREHENSIVE_BLEND_CA 10/03/2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total catch (t) by FMP and FMP subarea,,,,,,,,,,,,,,,
Year,BSAI,AI,EBS,,,,,,,,,,,,
2003,684.647,389.648,294.999,,,,,,,,,,,,
2004,633.071,331.172,301.899,,,,,,,,,,,,
2005,446.802,281.552,165.25,,,,,,,,,,,,
2006,570.461,421.614,148.847,,,,,,,,,,,,
2007,646.414,429.352,217.062,,,,,,,,,,,,
2008,596.337,381.998,214.339,,,,,,,,,,,,
2009,565.61,372.288,193.322,,,,,,,,,,,,
2010,765.8581804,497.5952356,268.2629448,,,,,,,,,,,,
2011,945.187335,616.7396425,328.4476925,,,,,,,,,,,,
2012,919.0154701,711.4452068,207.5702633,,,,,,,,,,,,
2013,789.0324058,596.8450236,192.1873822,,,,,,,,,,,,
2014,912.780914,588.8585458,323.9223682,,,,,,,,,,,,
2015,650.957319,467.1019313,183.8553878,,,,,,,,,,,,
2016,768.3071597,490.1737307,278.133429,,,,,,,,,,,,
2017,827.9985771,568.1743975,259.8241796,,,,,,,,,,,,
2018,986.2001639,774.806714,211.3934499,,,,,,,,,,,,
2019,1273.508205,569.9438773,703.5643272,,,,,,,,,,,,
2020,1094.551985,739.5499011,355.0020834,,,,,,,,,,,,
2021,1001.785966,609.9807013,391.8052649,,,,,,,,,,,,
2022,998.9807009,452.9049788,546.0757222,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Catch (t) of Other Rockfish species and percent shortspine thornyhead in the catch in the Aleutian,,,,,,,,,,,,,,,
Islands and Bering Sea since 2003.,,,,,,,,,,,,,,,
Year,Area,dusky rockfish,SST,other thornyheads,% SST in thornyhead catch,harlequin rockfish,yelloweye rockfish,redbanded rockfish,redstripe rockfish,black rockfish,other rockfish,Total (t),,,
2003,AI,151.5,129.3,47.8,73%,34.5,2.4,0.2,0.9,0.2,3.2,389.6,,,
2004,AI,129.5,60.3,37,62%,36.9,0.9,0.2,3.1,1.4,47.9,331.2,,,
2005,AI,134.2,78.1,35.1,69%,14.3,5.6,0.2,0,0,14.1,281.6,,,
2006,AI,161.4,118.7,39.7,75%,25.2,0.4,0.1,1.7,0.1,72.2,421.6,,,
2007,AI,231.7,115.9,15.4,88%,39.9,0.6,1.4,0.5,0.1,23.9,429.4,,,
2008,AI,179.8,107.4,7.8,93%,34.3,4.5,1,0.6,3.2,43.3,382,,,
2009,AI,142,131.8,10.8,92%,22.8,0.2,0.4,0,1.2,63,372.3,,,
2010,AI,226.2,154.8,14.9,91%,42.6,0.5,3.6,0.9,0.4,53.5,497.6,,,
2011,AI,380.5,152.9,10.7,93%,59.3,0.3,0.7,0,0.1,12.2,616.7,,,
2012,AI,435.2,171.1,2.7,98%,51.9,0.1,3.7,0,0.3,46.3,711.4,,,
2013,AI,334.3,226.2,4.6,98%,25.9,0.7,0.9,0,0.5,3.7,596.8,,,
2014,AI,349.3,202.4,8.7,96%,20,0.1,1.5,0.3,0.4,6.2,588.9,,,
2015,AI,294.4,119.7,2.3,98%,32.7,0.1,0.3,0,0.1,17.6,467.1,,,
2016,AI,337.6,113.5,0,100%,36.1,1.3,0.5,0.1,0.3,0.7,490.2,,,
2017,AI,403.5,99.6,0.8,99%,47.9,0.1,1.7,4.5,0.5,9.6,568.2,,,
2018,AI,570.6,90.2,1.3,99%,95.4,0.8,0.9,0,0.3,15.3,774.8,,,
2019,AI,332.4,135,0,100%,92.2,0.3,2,0,0.8,7.2,569.9,,,
2020,AI,426.6,186,0.1,100%,97.8,1,2.3,0.1,1.1,24.3,739.5,,,
2021,AI,361.4,164.3,6.1,96%,67.6,0.6,0.6,0.8,0.1,8.2,610,,,
2022,AI,248.9,121,0.1,100%,79.2,0.6,0.5,0.5,0,2.2,452.9,,,
Average,AI,291.6,133.9,12.3,91%,47.8,1,1.1,0.7,0.6,23.7,514.6,,,
Year,Area,dusky rockfish,SST,other thornyheads,% SST in thornyhead catch,harlequin rockfish,yelloweye rockfish,redbanded rockfish,redstripe rockfish,black rockfish,other rockfish,Total (t),,,
2003,EBS,22.2,218.9,20.8,91%,0,1.1,17,1,0.3,13.6,295,,,
2004,EBS,31.9,224.3,17.7,93%,0.4,1.4,10.4,0,0.9,15,301.9,,,
