SURVEY,YEAR,STRATUM,LENGTH,SPECIES_CODE,FREQUENCY
EBS_SLOPE,2002,11,29,30020,303747.167770957
EBS_SLOPE,2002,11,30,30020,429182.602898302
EBS_SLOPE,2002,11,31,30020,550060.836077168
EBS_SLOPE,2002,11,32,30020,489741.280039181
EBS_SLOPE,2002,11,33,30020,462660.472353265
EBS_SLOPE,2002,11,34,30020,698856.514838166
EBS_SLOPE,2002,11,35,30020,554815.785702025
EBS_SLOPE,2002,11,36,30020,314798.326846619
EBS_SLOPE,2002,11,38,30020,23223.7929201329
EBS_SLOPE,2002,11,39,30020,79366.6781168659
EBS_SLOPE,2002,11,40,30020,29186.2725780103
EBS_SLOPE,2002,11,42,30020,35221.8665874745
EBS_SLOPE,2002,11,43,30020,17610.9332937373
EBS_SLOPE,2002,11,44,30020,11342.7391576597
EBS_SLOPE,2002,11,54,30020,11575.339284273
EBS_SLOPE,2002,12,10,30020,6457.21309787038
EBS_SLOPE,2002,12,12,30020,37066.2039133494
EBS_SLOPE,2002,12,13,30020,13143.3313208996
EBS_SLOPE,2002,12,14,30020,20182.8243923062
EBS_SLOPE,2002,12,15,30020,123351.683125786
EBS_SLOPE,2002,12,16,30020,131117.892756087
EBS_SLOPE,2002,12,17,30020,198941.929211514
EBS_SLOPE,2002,12,18,30020,280172.120492972
EBS_SLOPE,2002,12,19,30020,524264.371522749
EBS_SLOPE,2002,12,20,30020,517378.460771174
EBS_SLOPE,2002,12,21,30020,296599.779809709
EBS_SLOPE,2002,12,22,30020,355886.346829293
EBS_SLOPE,2002,12,23,30020,424051.594860203
EBS_SLOPE,2002,12,24,30020,295918.063915514
EBS_SLOPE,2002,12,25,30020,191079.57943282
EBS_SLOPE,2002,12,26,30020,279871.855739656
EBS_SLOPE,2002,12,27,30020,286864.732209277
EBS_SLOPE,2002,12,28,30020,324146.208213824
EBS_SLOPE,2002,12,29,30020,541727.360413825
EBS_SLOPE,2002,12,30,30020,552082.291246363
EBS_SLOPE,2002,12,31,30020,609312.725171806
EBS_SLOPE,2002,12,32,30020,843691.115379955
EBS_SLOPE,2002,12,33,30020,829823.805748098
EBS_SLOPE,2002,12,34,30020,1080918.65598995
EBS_SLOPE,2002,12,35,30020,1296408.49355498
EBS_SLOPE,2002,12,36,30020,1054951.06282236
EBS_SLOPE,2002,12,37,30020,925830.993323775
EBS_SLOPE,2002,12,38,30020,498351.434820272
EBS_SLOPE,2002,12,39,30020,444607.311651732
EBS_SLOPE,2002,12,40,30020,260118.048963526
EBS_SLOPE,2002,12,41,30020,283229.130321756
EBS_SLOPE,2002,12,42,30020,193750.945066403
EBS_SLOPE,2002,2,58,30020,5488.98843600299
EBS_SLOPE,2002,2,60,30020,5584.96699660849
EBS_SLOPE,2002,2,61,30020,11169.933993217
EBS_SLOPE,2002,2,65,30020,5584.96699660849
EBS_SLOPE,2002,2,66,30020,12532.5793801437
EBS_SLOPE,2002,2,67,30020,12532.5793801437
EBS_SLOPE,2002,2,999.9,30020,2538694.00219014
EBS_SLOPE,2002,3,13,30020,34607.7081860929
EBS_SLOPE,2002,3,14,30020,75159.6873101965
EBS_SLOPE,2002,3,15,30020,52087.8818528012
EBS_SLOPE,2002,3,16,30020,86695.5900388941
