Biomass estimates for BSAI Other Rockfish from AI/EBS trawl surveys and Random Effects Model
Contact: jane.sullivan@noaa.gov
Estimates generated 2020-11-24

Survey biomass estimates (t) with estimated variance and 95% confidence intervals.
The reported CV was used as an input to random effects models. Biomass estimates of zero were treated as NAs in the model.
No SSTs occur on the EBS Shelf, so this species X region combination is not reported or estimated in subsequent RE models.
species,region,year,biomass,var,cv,lci,uci
non-SST,AI,1982,NA,NA,NA,NA,NA
non-SST,AI,1983,NA,NA,NA,NA,NA
non-SST,AI,1984,NA,NA,NA,NA,NA
non-SST,AI,1985,NA,NA,NA,NA,NA
non-SST,AI,1986,NA,NA,NA,NA,NA
non-SST,AI,1987,NA,NA,NA,NA,NA
non-SST,AI,1988,NA,NA,NA,NA,NA
non-SST,AI,1989,NA,NA,NA,NA,NA
non-SST,AI,1990,NA,NA,NA,NA,NA
non-SST,AI,1991,493.6,34743.4980288532,0.37762576653631,128.263686409847,858.936313590153
non-SST,AI,1992,NA,NA,NA,NA,NA
non-SST,AI,1993,NA,NA,NA,NA,NA
non-SST,AI,1994,212.6,16715.8416304516,0.608136210784779,0,466.007926489174
non-SST,AI,1995,NA,NA,NA,NA,NA
non-SST,AI,1996,NA,NA,NA,NA,NA
non-SST,AI,1997,643.4,190893.975644931,0.679070797861866,0,1499.75173663488
non-SST,AI,1998,NA,NA,NA,NA,NA
non-SST,AI,1999,NA,NA,NA,NA,NA
non-SST,AI,2000,1275.6,180209.837483541,0.332793424684621,443.557866645702,2107.6421333543
non-SST,AI,2001,NA,NA,NA,NA,NA
non-SST,AI,2002,553.8,29041.6871056486,0.307721591298834,219.784214167863,887.815785832137
non-SST,AI,2003,NA,NA,NA,NA,NA
non-SST,AI,2004,1231.2,259197.814568652,0.413510994276725,233.335117139133,2229.06488286087
non-SST,AI,2005,NA,NA,NA,NA,NA
non-SST,AI,2006,6003.3,27857017.6321819,0.879178912624096,0,16348.1305416662
non-SST,AI,2007,NA,NA,NA,NA,NA
non-SST,AI,2008,NA,NA,NA,NA,NA
non-SST,AI,2009,NA,NA,NA,NA,NA
non-SST,AI,2010,588.3,36154.9259571049,0.323210074883903,215.616805373768,960.983194626232
non-SST,AI,2011,NA,NA,NA,NA,NA
non-SST,AI,2012,250.2,5744.12280852447,0.302917631814179,101.651616699381,398.748383300619
non-SST,AI,2013,NA,NA,NA,NA,NA
non-SST,AI,2014,5643.1,21148940.3204697,0.814941734826478,0,14656.7434994466
non-SST,AI,2015,NA,NA,NA,NA,NA
non-SST,AI,2016,1764.7,340966.889340777,0.330891200568521,620.209544779193,2909.19045522081
non-SST,AI,2017,NA,NA,NA,NA,NA
non-SST,AI,2018,914.4,86927.6900840584,0.322435500664054,336.523357257867,1492.27664274213
non-SST,AI,2019,NA,NA,NA,NA,NA
non-SST,SBS,1982,NA,NA,NA,NA,NA
non-SST,SBS,1983,NA,NA,NA,NA,NA
non-SST,SBS,1984,NA,NA,NA,NA,NA
non-SST,SBS,1985,NA,NA,NA,NA,NA
non-SST,SBS,1986,NA,NA,NA,NA,NA
non-SST,SBS,1987,NA,NA,NA,NA,NA
non-SST,SBS,1988,NA,NA,NA,NA,NA
non-SST,SBS,1989,NA,NA,NA,NA,NA
non-SST,SBS,1990,NA,NA,NA,NA,NA
non-SST,SBS,1991,60.9,2573.94424173318,0.833071495298001,0,160.338745964751
non-SST,SBS,1992,NA,NA,NA,NA,NA
non-SST,SBS,1993,NA,NA,NA,NA,NA
non-SST,SBS,1994,101.2,2417.96456531565,0.485897263894708,4.82130591195694,197.578694088043
non-SST,SBS,1995,NA,NA,NA,NA,NA
non-SST,SBS,1996,NA,NA,NA,NA,NA
non-SST,SBS,1997,138.3,3990.14346927349,0.456743184554207,14.4915384492601,262.10846155074
non-SST,SBS,1998,NA,NA,NA,NA,NA
non-SST,SBS,1999,NA,NA,NA,NA,NA
non-SST,SBS,2000,55.4,390.934224554423,0.356896329597489,16.6467689469862,94.1532310530138
non-SST,SBS,2001,NA,NA,NA,NA,NA
non-SST,SBS,2002,99.1,1245.68815315407,0.356148412304413,29.9231569876401,168.27684301236
non-SST,SBS,2003,NA,NA,NA,NA,NA
non-SST,SBS,2004,5528,18672588.6873035,0.781689414853116,0,13997.5110072037
non-SST,SBS,2005,NA,NA,NA,NA,NA
non-SST,SBS,2006,738.3,495818.606946736,0.953736803841275,0,2118.42200926099
non-SST,SBS,2007,NA,NA,NA,NA,NA
non-SST,SBS,2008,NA,NA,NA,NA,NA
non-SST,SBS,2009,NA,NA,NA,NA,NA
non-SST,SBS,2010,120,2846.76277659356,0.444625527253737,15.424075989921,224.575924010079
non-SST,SBS,2011,NA,NA,NA,NA,NA
non-SST,SBS,2012,134.6,5946.4042372885,0.572904396080586,0,285.741346156396
